subject,item,cond,sentence,rating,age,sex,L1,bilingual,impairment,education
plausibility_1,106,intro,Der Winzer investierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,106,distr_anim,Der Handwerker investierte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,76,distr_inan,Der Bericht trat zurück.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,76,intro,Der Regierungssprecher trat zurück.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,76,subject,Der Politiker trat zurück.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,76,distr_anim,Der Informant trat zurück.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,113,distr_inan,Das Training holte auf.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,113,subject,Die Läuferin holte auf.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,113,distr_anim,Der Trainer holte auf.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,113,intro,Der Kommentator holte auf.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,47,intro,Der Konzernchef wartete.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,47,distr_anim,Der Bewerber wartete.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,47,distr_inan,Der Ansatz wartete.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,47,subject,Der Biologe wartete.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,94,intro,Der Sozialarbeiter kam unter.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,94,subject,Der Obdachlose kam unter.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,94,distr_inan,Die Unterkunft kam unter.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,94,distr_anim,Der Heimleiter kam unter.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,84,distr_anim,Der Gitarrist kiffte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,84,subject,Der Schlagzeuger kiffte.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,84,distr_inan,Der Text kiffte.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,84,intro,Der Tontechniker kiffte.,7,27,weiblich,deutsch,nein,nein,master
